cantonShort;postalCode;city;streetName;streetNumber
ZH;8954;Geroldswil;Huebwiesenstrasse;7A
ZH;8954;Geroldswil;Huebwiesenstrasse;7B
ZH;8954;Geroldswil;Huebwiesenstrasse;8
ZH;8954;Geroldswil;Huebwiesenstrasse;80
ZH;8954;Geroldswil;Huebwiesenstrasse;9A
ZH;8954;Geroldswil;Huebwiesenstrasse;9B
ZH;8954;Geroldswil;Höhenstrasse;1
ZH;8954;Geroldswil;Höhenstrasse;11
ZH;8954;Geroldswil;Höhenstrasse;11B
ZH;8954;Geroldswil;Höhenstrasse;12
ZH;8954;Geroldswil;Höhenstrasse;14
ZH;8954;Geroldswil;Höhenstrasse;15
ZH;8954;Geroldswil;Höhenstrasse;17
ZH;8954;Geroldswil;Höhenstrasse;19
ZH;8954;Geroldswil;Höhenstrasse;2
ZH;8954;Geroldswil;Höhenstrasse;20
ZH;8954;Geroldswil;Höhenstrasse;21
ZH;8954;Geroldswil;Höhenstrasse;23
ZH;8954;Geroldswil;Höhenstrasse;24
ZH;8954;Geroldswil;Höhenstrasse;25
ZH;8954;Geroldswil;Höhenstrasse;26
ZH;8954;Geroldswil;Höhenstrasse;27
ZH;8954;Geroldswil;Höhenstrasse;28
ZH;8954;Geroldswil;Höhenstrasse;29
ZH;8954;Geroldswil;Höhenstrasse;3
ZH;8954;Geroldswil;Höhenstrasse;31
ZH;8954;Geroldswil;Höhenstrasse;33
ZH;8954;Geroldswil;Höhenstrasse;33A
ZH;8954;Geroldswil;Höhenstrasse;35
ZH;8954;Geroldswil;Höhenstrasse;37
ZH;8954;Geroldswil;Höhenstrasse;39
ZH;8954;Geroldswil;Höhenstrasse;41
ZH;8954;Geroldswil;Höhenstrasse;43
ZH;8954;Geroldswil;Höhenstrasse;4A
ZH;8954;Geroldswil;Höhenstrasse;4B
ZH;8954;Geroldswil;Höhenstrasse;5
ZH;8954;Geroldswil;Höhenstrasse;5A
ZH;8954;Geroldswil;Höhenstrasse;6
ZH;8954;Geroldswil;Höhenstrasse;7
ZH;8954;Geroldswil;Höhenstrasse;8
ZH;8954;Geroldswil;Höhenstrasse;9
ZH;8954;Geroldswil;Im Bungert;1
ZH;8954;Geroldswil;Im Bungert;11
ZH;8954;Geroldswil;Im Bungert;13
ZH;8954;Geroldswil;Im Bungert;2
ZH;8954;Geroldswil;Im Bungert;3
ZH;8954;Geroldswil;Im Bungert;4
ZH;8954;Geroldswil;Im Bungert;5
ZH;8954;Geroldswil;Im Bungert;6
ZH;8954;Geroldswil;Im Bungert;7
ZH;8954;Geroldswil;Im Bungert;9
ZH;8954;Geroldswil;Im Welbrig;10
ZH;8954;Geroldswil;Im Welbrig;12
ZH;8954;Geroldswil;Im Werd;1
ZH;8954;Geroldswil;Limmattalstrasse;25
ZH;8954;Geroldswil;Limmattalstrasse;40
ZH;8954;Geroldswil;Limmattalstrasse;42
ZH;8954;Geroldswil;Limmattalstrasse;43
ZH;8954;Geroldswil;Limmattalstrasse;44
ZH;8954;Geroldswil;Limmattalstrasse;45
ZH;8954;Geroldswil;Limmattalstrasse;46
ZH;8954;Geroldswil;Limmattalstrasse;47
ZH;8954;Geroldswil;Limmattalstrasse;49
ZH;8954;Geroldswil;Limmattalstrasse;50
ZH;8954;Geroldswil;Limmattalstrasse;51
ZH;8954;Geroldswil;Limmattalstrasse;53
ZH;8954;Geroldswil;Limmattalstrasse;55A
ZH;8954;Geroldswil;Limmattalstrasse;55B
ZH;8954;Geroldswil;Limmattalstrasse;55C
ZH;8954;Geroldswil;Limmattalstrasse;57
ZH;8954;Geroldswil;Limmattalstrasse;58
ZH;8954;Geroldswil;Limmattalstrasse;59
ZH;8954;Geroldswil;Limmattalstrasse;60
ZH;8954;Geroldswil;Limmattalstrasse;61
